PC=00000025, SP=ffffffe8, A=0000003b, B=00000000stl 00000001
PC=00000026, SP=ffffffe8, A=00000000, B=00000000stl 00000002
PC=00000027, SP=ffffffe8, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=ffffffe8, A=00000001, B=00000000shl 
PC=00000029, SP=ffffffe8, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=ffffffe8, A=00000006, B=00000000sub 
PC=0000002b, SP=ffffffe8, A=fffffffa, B=00000000brlz 00000004
PC=00000030, SP=ffffffe8, A=fffffffa, B=00000000ldl 00000002
PC=00000031, SP=ffffffe8, A=00000000, B=fffffffabrz 00000014
PC=00000046, SP=ffffffe8, A=00000000, B=fffffffaldc 00000001
PC=00000047, SP=ffffffe8, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=ffffffe8, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=ffffffeb, A=0000003b, B=00000001return 
PC=0000003b, SP=ffffffeb, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=ffffffeb, A=00000006, B=00000001stl 00000000
PC=0000003d, SP=ffffffeb, A=00000001, B=00000001stl 00000001
PC=0000003e, SP=ffffffeb, A=00000001, B=00000001ldl 00000003
PC=0000003f, SP=ffffffeb, A=00000001, B=00000001call ffffffe4
PC=00000024, SP=ffffffeb, A=00000040, B=00000001adj fffffffd
PC=00000025, SP=ffffffe8, A=00000040, B=00000001stl 00000001
PC=00000026, SP=ffffffe8, A=00000001, B=00000001stl 00000002
PC=00000027, SP=ffffffe8, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=ffffffe8, A=00000001, B=00000001shl 
PC=00000029, SP=ffffffe8, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=ffffffe8, A=00000006, B=00000002sub 
PC=0000002b, SP=ffffffe8, A=fffffffc, B=00000002brlz 00000004
PC=00000030, SP=ffffffe8, A=fffffffc, B=00000002ldl 00000002
PC=00000031, SP=ffffffe8, A=00000001, B=fffffffcbrz 00000014
PC=00000032, SP=ffffffe8, A=00000001, B=fffffffcldl 00000003
PC=00000033, SP=ffffffe8, A=00000006, B=00000001adc ffffffff
PC=00000034, SP=ffffffe8, A=00000005, B=00000001stl 00000000
PC=00000035, SP=ffffffe8, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=ffffffe7, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=ffffffe7, A=00000005, B=00000001stl 00000000
PC=00000038, SP=ffffffe7, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=ffffffe7, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=ffffffe7, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=ffffffe7, A=0000003b, B=00000000adj fffffffd
PC=00000025, SP=ffffffe4, A=0000003b, B=00000000stl 00000001
PC=00000026, SP=ffffffe4, A=00000000, B=00000000stl 00000002
PC=00000027, SP=ffffffe4, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=ffffffe4, A=00000001, B=00000000shl 
PC=00000029, SP=ffffffe4, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=ffffffe4, A=00000005, B=00000000sub 
PC=0000002b, SP=ffffffe4, A=fffffffb, B=00000000brlz 00000004
PC=00000030, SP=ffffffe4, A=fffffffb, B=00000000ldl 00000002
PC=00000031, SP=ffffffe4, A=00000000, B=fffffffbbrz 00000014
PC=00000046, SP=ffffffe4, A=00000000, B=fffffffbldc 00000001
PC=00000047, SP=ffffffe4, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=ffffffe4, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=ffffffe7, A=0000003b, B=00000001return 
PC=0000003b, SP=ffffffe7, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=ffffffe7, A=00000005, B=00000001stl 00000000
PC=0000003d, SP=ffffffe7, A=00000001, B=00000001stl 00000001
PC=0000003e, SP=ffffffe7, A=00000001, B=00000001ldl 00000003
PC=0000003f, SP=ffffffe7, A=00000001, B=00000001call ffffffe4
PC=00000024, SP=ffffffe7, A=00000040, B=00000001adj fffffffd
PC=00000025, SP=ffffffe4, A=00000040, B=00000001stl 00000001
PC=00000026, SP=ffffffe4, A=00000001, B=00000001stl 00000002
PC=00000027, SP=ffffffe4, A=00000001, B=00000001ldc 00000001
PC=00000028, SP=ffffffe4, A=00000001, B=00000001shl 
PC=00000029, SP=ffffffe4, A=00000002, B=00000001ldl 00000003
PC=0000002a, SP=ffffffe4, A=00000005, B=00000002sub 
PC=0000002b, SP=ffffffe4, A=fffffffd, B=00000002brlz 00000004
PC=00000030, SP=ffffffe4, A=fffffffd, B=00000002ldl 00000002
PC=00000031, SP=ffffffe4, A=00000001, B=fffffffdbrz 00000014
PC=00000032, SP=ffffffe4, A=00000001, B=fffffffdldl 00000003
PC=00000033, SP=ffffffe4, A=00000005, B=00000001adc ffffffff
PC=00000034, SP=ffffffe4, A=00000004, B=00000001stl 00000000
PC=00000035, SP=ffffffe4, A=00000001, B=00000001adj ffffffff
PC=00000036, SP=ffffffe3, A=00000001, B=00000001ldl 00000001
PC=00000037, SP=ffffffe3, A=00000004, B=00000001stl 00000000
PC=00000038, SP=ffffffe3, A=00000001, B=00000001ldl 00000003
PC=00000039, SP=ffffffe3, A=00000001, B=00000001adc ffffffff
PC=0000003a, SP=ffffffe3, A=00000000, B=00000001call ffffffe9
PC=00000024, SP=ffffffe3, A=0000003b, B=00000000adj fffffffd
PC=00000025, SP=ffffffe0, A=0000003b, B=00000000stl 00000001
PC=00000026, SP=ffffffe0, A=00000000, B=00000000stl 00000002
PC=00000027, SP=ffffffe0, A=00000000, B=00000000ldc 00000001
PC=00000028, SP=ffffffe0, A=00000001, B=00000000shl 
PC=00000029, SP=ffffffe0, A=00000000, B=00000000ldl 00000003
PC=0000002a, SP=ffffffe0, A=00000004, B=00000000sub 
PC=0000002b, SP=ffffffe0, A=fffffffc, B=00000000brlz 00000004
PC=00000030, SP=ffffffe0, A=fffffffc, B=00000000ldl 00000002
PC=00000031, SP=ffffffe0, A=00000000, B=fffffffcbrz 00000014
PC=00000046, SP=ffffffe0, A=00000000, B=fffffffcldc 00000001
PC=00000047, SP=ffffffe0, A=00000001, B=00000000ldl 00000001
PC=00000048, SP=ffffffe0, A=0000003b, B=00000001adj 00000003
PC=00000049, SP=ffffffe3, A=0000003b, B=00000001return 
PC=0000003b, SP=ffffffe3, A=00000001, B=00000001ldl 00000001
PC=0000003c, SP=ffffffe3, A=00000004, B=00000001stl 00000000
